gender,marital_status,city,education_level,department,income_class,age,years_experience,weekly_hours,bonus_percentage,performance_score,overtime_hours,monthly_income,predicted_income,income_gap,gap_flag
Male,Single,Jakarta,S1,HR,High,46.0,10.0,49.3,9.9,67.9,19.4,9845,10564.502131055964,-719.5021310559641,Underpaid
Male,Single,Surabaya,S1,Marketing,High,34.0,17.0,36.6,7.7,67.3,13.0,11367,12092.194998829284,-725.1949988292836,Underpaid
Female,Married,Surabaya,SMA,Finance,Low,43.0,5.0,40.4,12.4,84.6,11.1,7992,6466.250886069306,1525.749113930694,Overpaid
Male,Single,Surabaya,D3,HR,High,38.0,15.0,38.6,6.6,65.0,16.2,10926,11565.891172763037,-639.8911727630366,Underpaid
Female,Married,Jakarta,S1,Sales,Low,30.0,8.0,40.6,13.1,81.2,11.2,6610,7692.0396389529615,-1082.0396389529615,Underpaid
Male,Single,Bandung,S1,Sales,High,38.0,19.0,42.2,9.9,77.9,6.0,13915,13497.92844168616,417.0715583138408,Fair
Male,Single,Bandung,SMA,IT,High,47.0,8.0,42.2,7.7,76.8,9.1,9112,9196.031968548672,-84.03196854867201,Fair
Female,Single,Jakarta,SMA,Sales,Low,35.0,6.0,36.2,9.9,59.3,6.6,6433,6514.946065919338,-81.94606591933825,Fair
Male,Divorced,Jakarta,SMA,HR,High,48.0,13.0,34.4,8.2,71.4,9.8,10476,10492.688502491372,-16.688502491371764,Fair
Male,Married,Surabaya,S1,HR,Low,14.0,8.0,52.5,9.9,60.4,3.7,8204,8564.820122016119,-360.82012201611906,Fair
Female,Single,Surabaya,SMA,Marketing,Low,42.0,6.0,37.6,9.2,69.1,5.1,7386,6481.471277037913,904.5287229620872,Overpaid
Other,Single,Bandung,S1,Finance,Low,36.0,8.0,43.5,4.8,84.2,14.5,7394,7942.908740784018,-548.9087407840179,Underpaid
Male,Married,Bandung,SMA,Sales,Low,33.0,10.0,32.0,7.1,87.3,11.7,8501,7738.446415858429,762.5535841415713,Overpaid
Male,Married,Bandung,S1,IT,High,35.0,17.0,38.6,8.7,77.1,7.5,13128,12302.413532142691,825.5864678573089,Overpaid
Male,Married,Surabaya,D3,Finance,Low,19.0,0.0,39.4,14.1,69.3,4.9,4035,4514.020968273673,-479.02096827367313,Fair
Female,Divorced,Surabaya,S1,HR,Low,33.0,10.0,42.4,9.9,90.9,8.0,8001,8627.492194233593,-626.4921942335932,Underpaid
Female,Married,Jakarta,SMA,HR,Low,38.0,13.0,26.4,14.9,69.2,1.6,7947,8304.68600365632,-357.6860036563194,Fair
Female,Divorced,Surabaya,S1,Finance,High,47.0,11.0,40.8,9.9,63.6,10.6,11176,10247.449332688235,928.5506673117652,Overpaid
Male,Single,Bandung,SMA,Finance,High,31.0,17.0,34.3,8.4,82.0,14.7,11157,12135.020564164824,-978.0205641648245,Underpaid
Male,Married,Jakarta,S1,Sales,High,29.0,10.0,41.6,9.9,79.6,21.8,9927,10026.807481116146,-99.80748111614594,Fair
Male,Married,Surabaya,S1,IT,Low,31.0,9.0,34.8,8.8,69.6,4.5,8100,7403.057956716897,696.942043283103,Overpaid
Male,Single,Bandung,SMA,Finance,Low,42.0,13.0,35.7,8.0,76.0,14.5,9068,9155.567864286593,-87.56786428659325,Fair
Female,Single,Surabaya,S1,Marketing,Low,38.0,10.0,38.6,4.5,79.4,6.5,8330,8126.33429933878,203.6657006612204,Fair
Male,Married,Jakarta,S1,Finance,High,31.0,8.0,34.7,10.0,77.0,4.4,9174,8668.315588861768,505.68441113823246,Overpaid
Female,Single,Surabaya,SMA,HR,High,35.0,13.0,37.6,6.1,79.6,4.4,13752,10799.68682921285,2952.3131707871507,Overpaid
Female,Married,Bandung,D3,IT,Low,36.0,7.0,34.0,9.9,69.9,9.8,6586,6607.332567822283,-21.332567822282726,Fair
Male,Married,Jakarta,SMA,Sales,Low,43.0,7.0,30.8,9.9,80.3,5.3,6197,6432.8870381440875,-235.88703814408746,Fair
Female,Single,Bandung,S1,Finance,Low,35.0,7.0,45.1,9.9,75.2,9.8,6371,7687.365328449671,-1316.3653284496713,Underpaid
Male,Single,Jakarta,S1,HR,High,32.0,17.0,40.0,10.6,70.3,7.8,10202,12516.420961031012,-2314.4209610310118,Underpaid
Male,Divorced,Surabaya,SMA,Marketing,Low,32.0,6.0,39.1,12.7,72.5,6.3,6053,6674.117823576861,-621.1178235768612,Underpaid
Male,Single,Surabaya,S1,Marketing,High,23.0,12.0,43.8,10.8,74.0,5.9,9931,10862.860170208005,-931.860170208005,Underpaid
Male,Single,Bandung,S1,Sales,Low,37.0,10.0,36.9,9.9,60.5,2.1,8667,8074.172494284687,592.8275057153132,Overpaid
Male,Single,Surabaya,S2,Sales,Low,37.0,2.0,40.0,8.9,68.6,10.4,5278,5299.0655375282,-21.065537528200366,Fair
Female,Divorced,Jakarta,S1,Finance,High,35.0,12.0,41.1,9.3,75.6,10.3,10334,10775.546056367526,-441.54605636752603,Fair
Female,Married,Surabaya,S2,Finance,High,33.0,12.0,45.6,9.9,61.5,6.0,11266,10990.201017059611,275.79898294038867,Fair
Male,Married,Surabaya,S1,HR,High,24.0,13.0,34.2,12.5,68.8,11.8,9301,10469.050234542616,-1168.0502345426157,Underpaid
Female,Single,Surabaya,D3,HR,Low,32.0,3.0,39.2,4.8,98.8,17.0,5354,5725.789341732043,-371.7893417320429,Fair
Female,Married,Surabaya,S1,HR,High,32.0,17.0,31.3,9.9,63.7,10.1,11270,11696.838690918157,-426.8386909181572,Fair
Female,Single,Surabaya,D3,Finance,Low,29.0,6.0,38.0,5.8,71.2,16.7,5537,6698.140415152749,-1161.1404151527486,Underpaid
Male,Married,Surabaya,D3,Finance,Low,34.0,13.0,40.2,12.9,66.7,21.2,8543,9443.3596468994,-900.3596468994001,Underpaid
Male,Single,Surabaya,D3,Sales,High,38.0,10.0,35.7,8.9,73.8,9.8,9904,9505.23706541052,398.7629345894802,Fair
Female,Married,Surabaya,S1,Finance,Low,50.0,6.0,37.7,6.3,66.9,4.1,4291,6503.214015100006,-2212.214015100006,Underpaid
Female,Married,Bandung,S1,HR,Low,36.0,13.0,33.0,11.7,72.6,4.1,8663,8863.764359930792,-200.76435993079212,Fair
Male,Single,Bandung,D3,IT,Low,37.0,8.0,40.4,12.8,67.8,7.8,8584,7554.827473535228,1029.172526464772,Overpaid
Female,Divorced,Surabaya,D3,HR,Low,34.0,0.0,45.3,9.9,85.6,9.8,4708,5050.853196484102,-342.8531964841022,Fair
Male,Single,Bandung,D3,IT,High,35.0,16.0,34.5,12.2,75.8,17.9,11473,11656.099789202292,-183.0997892022915,Fair
Female,Single,Surabaya,S1,Sales,Low,35.0,6.0,36.9,3.1,65.0,13.1,7869,6553.731555481634,1315.2684445183659,Overpaid
Male,Married,Surabaya,SMA,Marketing,Low,35.0,6.0,42.5,9.9,83.4,4.0,6523,6902.003048879202,-379.00304887920174,Fair
Female,Single,Surabaya,S1,Finance,High,55.0,8.0,46.1,9.9,65.4,9.8,9288,9503.576447902644,-215.57644790264385,Fair
Female,Single,Bandung,D3,Finance,Low,33.0,11.0,32.5,9.3,59.4,9.8,7946,8112.888053061671,-166.8880530616707,Fair
Male,Married,Jakarta,D3,HR,High,37.0,10.0,39.2,4.4,75.0,2.6,9193,9719.615790253549,-526.6157902535488,Underpaid
Male,Single,Surabaya,SMA,HR,High,35.0,13.0,41.4,9.9,94.1,10.1,10795,11172.81899548105,-377.81899548104957,Fair
Female,Divorced,Surabaya,SMA,IT,Low,26.0,3.0,39.5,7.2,56.7,4.1,5656,5565.845360548737,90.15463945126339,Fair
Female,Single,Jakarta,S2,Finance,Low,44.0,6.0,27.6,9.5,61.7,1.7,5375,5769.899644344532,-394.89964434453213,Fair
Female,Single,Bandung,D3,Sales,Low,41.0,9.0,42.5,9.9,82.5,5.3,9070,8240.44311177578,829.5568882242205,Overpaid
Female,Married,Jakarta,SMA,HR,High,41.0,19.0,47.6,10.5,68.6,12.1,14657,13809.484483736445,847.5155162635547,Overpaid
Female,Single,Surabaya,D3,Finance,Low,28.0,9.0,40.6,9.8,81.1,12.0,7128,8099.621773643927,-971.6217736439266,Underpaid
Male,Divorced,Jakarta,D3,Marketing,High,46.0,15.0,34.8,9.9,66.6,10.5,11833,11182.763369976206,650.2366300237936,Overpaid
Female,Single,Surabaya,SMA,IT,Low,24.0,10.0,37.4,9.9,76.4,15.0,7508,8132.05283982869,-624.0528398286897,Underpaid
Male,Single,Bandung,D3,HR,Low,40.0,8.0,48.8,11.4,92.4,9.8,8008,8383.270763088381,-375.2707630883815,Fair
Male,Single,Bandung,S1,HR,High,53.0,9.0,44.5,9.9,63.1,9.8,9197,9740.415380588944,-543.4153805889437,Underpaid
Female,Single,Bandung,S1,Sales,High,27.0,9.0,43.2,9.9,85.2,10.3,9418,9875.604551591006,-457.6045515910064,Fair
Other,Married,Surabaya,D3,Finance,High,30.0,13.0,41.8,9.9,81.8,10.6,10898,11140.843959823302,-242.8439598233017,Fair
Male,Single,Bandung,D3,Finance,High,36.0,17.0,36.7,13.6,60.1,9.3,12495,12230.467557544089,264.5324424559112,Fair
Male,Married,Jakarta,S2,Finance,Low,31.0,12.0,39.0,10.4,80.6,0.9,8763,9042.818414217309,-279.8184142173086,Fair
Female,Single,Bandung,D3,Finance,High,23.0,16.0,39.6,10.4,75.7,15.7,11437,12212.136393080982,-775.1363930809821,Underpaid
Male,Single,Surabaya,SMA,Marketing,Low,36.0,5.0,42.7,8.1,75.9,12.0,4724,6565.098806410033,-1841.098806410033,Underpaid
Other,Single,Jakarta,SMA,Marketing,Low,27.0,8.0,47.5,8.1,78.4,3.9,7836,8160.945447250463,-324.9454472504631,Fair
Female,Married,Jakarta,D3,HR,Low,39.0,6.0,45.6,9.9,71.5,17.1,6218,7229.485481967056,-1011.4854819670563,Underpaid
Female,Single,Jakarta,S1,Marketing,High,28.0,12.0,32.9,9.9,75.7,7.1,9304,9990.705366521568,-686.7053665215681,Underpaid
Male,Single,Jakarta,SMA,Marketing,High,47.0,8.0,41.1,12.4,77.4,9.8,10468,9076.387712371428,1391.6122876285717,Overpaid
Male,Married,Surabaya,S1,Finance,High,29.0,14.0,43.7,9.9,82.5,15.1,12129,11690.594392331752,438.4056076682482,Fair
Female,Single,Bandung,SMA,Marketing,Low,32.0,5.0,43.1,11.7,59.7,11.1,4565,6597.067187905231,-2032.0671879052306,Underpaid
Male,Single,Jakarta,D3,IT,Low,42.0,10.0,40.0,9.9,87.9,16.7,7168,8337.001267467198,-1169.001267467198,Underpaid
Female,Single,Bandung,S1,IT,High,25.0,13.0,54.6,9.5,63.4,8.2,10658,12156.835647062922,-1498.8356470629224,Underpaid
Male,Single,Bandung,D3,IT,Low,37.0,0.0,33.6,13.6,82.6,18.5,1606,4031.4995194744097,-2425.4995194744097,Underpaid
Male,Married,Bandung,S1,HR,High,45.0,21.0,34.6,8.9,75.8,6.1,13676,13497.021400220161,178.978599779839,Fair
Female,Single,Bandung,SMA,Finance,Low,22.0,9.0,41.2,11.1,62.2,16.6,8846,8134.53234261379,711.4676573862098,Overpaid
Female,Married,Surabaya,S1,Sales,Low,36.0,0.0,50.6,7.6,80.3,1.3,3765,5405.601473878093,-1640.6014738780932,Underpaid
Male,Married,Jakarta,SMA,Finance,Low,37.0,11.0,35.8,8.0,65.5,4.5,8859,8314.84503996031,544.1549600396902,Overpaid
Female,Divorced,Jakarta,S1,Finance,Low,41.0,10.0,38.7,9.3,85.7,11.5,9087,8329.764821546923,757.2351784530765,Overpaid
Female,Single,Bandung,SMA,Finance,High,25.0,10.0,45.4,7.6,67.9,8.0,10238,10363.994926290196,-125.99492629019551,Fair
Female,Married,Jakarta,S1,Sales,High,24.0,15.0,39.9,9.9,60.1,9.6,11647,11726.758469336877,-79.75846933687717,Fair
Male,Single,Bandung,D3,Sales,High,39.0,14.0,38.3,6.0,90.3,10.2,11163,11322.840152475896,-159.8401524758956,Fair
Male,Married,Surabaya,S1,IT,High,37.0,11.0,40.0,10.3,76.8,4.0,9745,10103.711387855563,-358.71138785556286,Fair
Female,Married,Jakarta,D3,IT,High,37.0,12.0,41.4,10.4,83.7,4.4,9122,10665.149590988896,-1543.1495909888963,Underpaid
Male,Single,Bandung,S2,IT,Low,38.0,9.0,45.2,4.6,66.5,11.2,8220,8300.092904021498,-80.09290402149782,Fair
Male,Married,Jakarta,SMA,Sales,High,30.0,19.0,46.5,8.7,56.1,6.7,12823,13732.407055122076,-909.4070551220757,Underpaid
Male,Married,Bandung,SMA,Sales,Low,37.0,3.0,41.5,10.8,91.8,16.7,7152,5877.951740573797,1274.048259426203,Overpaid
Male,Single,Jakarta,D3,IT,Low,37.0,11.0,41.5,11.3,74.9,9.0,8177,8805.686961174057,-628.6869611740567,Underpaid
Female,Single,Surabaya,SMA,Sales,High,29.0,10.0,41.1,9.9,79.9,13.6,10059,10025.49518177551,33.50481822449001,Fair
Male,Single,Jakarta,SMA,Finance,High,50.0,14.0,40.0,12.0,81.6,12.2,9785,11390.186705886099,-1605.186705886099,Underpaid
Male,Single,Surabaya,S2,IT,Low,39.0,6.0,40.3,9.9,71.6,7.0,7795,6755.39811338238,1039.60188661762,Overpaid
Female,Single,Surabaya,S2,IT,Low,25.0,1.0,40.0,9.9,77.3,0.1,5472,4921.1583735113045,550.8416264886955,Overpaid
Female,Married,Bandung,D3,Finance,High,40.0,11.0,46.0,10.8,90.9,9.8,11250,10771.964642598312,478.0353574016881,Fair
Male,Single,Bandung,S2,Sales,High,27.0,11.0,47.6,12.8,74.7,5.1,9217,10945.394454162679,-1728.3944541626788,Underpaid
Female,Single,Jakarta,S1,HR,High,41.0,17.0,32.5,9.9,84.4,8.0,11911,11929.157185288757,-18.15718528875732,Fair
Male,Married,Surabaya,SMA,IT,Low,44.0,4.0,40.1,8.5,55.1,9.2,5404,5834.819426299102,-430.8194262991019,Fair
Male,Married,Bandung,S1,HR,High,28.0,16.0,36.6,9.9,86.2,9.7,10769,11881.699175239683,-1112.6991752396825,Underpaid
Female,Divorced,Surabaya,S1,Finance,High,43.0,22.0,38.4,9.0,59.8,14.8,148880,14222.132198580202,134657.8678014198,Overpaid
Female,Married,Surabaya,S2,Sales,Low,38.0,8.0,42.0,14.3,85.1,10.0,9015,7762.98745495289,1252.0125450471096,Overpaid
Female,Married,Surabaya,SMA,IT,Low,42.0,4.0,43.3,9.9,78.9,9.4,5740,6215.356112290841,-475.35611229084134,Fair
Female,Single,Jakarta,S1,IT,Low,50.0,8.0,39.4,6.6,74.0,15.1,8273,7440.64938616155,832.35061383845,Overpaid
Female,Married,Surabaya,SMA,IT,Low,35.0,10.0,30.4,8.2,74.0,13.0,7136,7437.745393707584,-301.7453937075843,Fair
Other,Married,Surabaya,SMA,HR,Low,35.0,13.0,35.2,9.9,72.5,6.3,8974,9000.498720535888,-26.498720535888424,Fair
Female,Married,Jakarta,SMA,Finance,Low,28.0,7.0,44.5,7.3,66.8,4.3,7624,7562.88671511603,61.113284883969754,Fair
Female,Single,Jakarta,S2,Sales,High,28.0,18.0,26.3,9.9,72.9,5.9,11365,11839.356362150571,-474.35636215057093,Fair
Female,Married,Bandung,S1,Finance,Low,34.0,4.0,45.9,9.9,97.1,9.8,7261,6648.891817736754,612.1081822632459,Overpaid
Male,Married,Surabaya,S1,IT,Low,38.0,1.0,42.6,8.2,88.0,3.8,3509,5054.821097662605,-1545.821097662605,Underpaid
Male,Single,Surabaya,S1,Finance,High,37.0,16.0,46.6,12.9,66.3,10.5,14817,12652.410254477272,2164.5897455227278,Overpaid
Male,Married,Jakarta,D3,HR,Low,42.0,1.0,39.0,13.8,77.7,9.4,2608,4799.3307317962945,-2191.3307317962945,Underpaid
Female,Single,Jakarta,SMA,Marketing,Low,35.0,9.0,29.7,7.8,76.0,2.7,7697,7050.24224192646,646.7577580735397,Overpaid
Female,Married,Jakarta,D3,Sales,Low,33.0,10.0,46.4,9.2,65.0,4.4,8989,8836.794966169757,152.20503383024334,Fair
Male,Single,Jakarta,S1,Sales,Low,57.0,4.0,44.6,6.7,79.5,8.3,6287,6420.449665292042,-133.44966529204157,Fair
Male,Married,Jakarta,S1,Finance,High,40.0,10.0,36.7,10.4,83.5,15.4,9341,9587.753390112817,-246.75339011281721,Fair
Male,Married,Jakarta,SMA,Sales,High,28.0,10.0,40.4,9.9,66.7,0.5,9871,9869.563615849745,1.4363841502545256,Fair
Female,Single,Bandung,SMA,HR,Low,26.0,11.0,37.3,11.1,94.6,3.4,9016,8648.728970523916,367.27102947608364,Fair
Female,Single,Surabaya,SMA,IT,High,39.0,13.0,35.9,9.9,90.2,9.2,10422,10645.068298009443,-223.06829800944251,Fair
Female,Married,Surabaya,D3,IT,Low,33.0,5.0,44.8,12.5,80.5,4.7,5647,6763.082870057769,-1116.0828700577686,Underpaid
Male,Married,Surabaya,S2,Finance,High,41.0,18.0,34.0,11.5,62.7,4.7,12217,12277.65628959828,-60.65628959828064,Fair
Male,Married,Surabaya,S1,IT,High,39.0,10.0,35.5,9.9,79.0,12.7,9447,9359.978124541978,87.0218754580219,Fair
Male,Married,Surabaya,S1,Finance,Low,34.0,14.0,34.5,9.9,77.8,7.5,8165,9383.529466518119,-1218.529466518119,Underpaid
Male,Divorced,Jakarta,D3,Finance,Low,28.0,7.0,40.0,9.9,80.1,2.6,6836,7317.003753423613,-481.0037534236126,Fair
Female,Married,Surabaya,D3,Sales,High,23.0,16.0,40.7,1.0,90.9,9.8,11905,12253.378988301298,-348.3789883012978,Fair
Male,Single,Jakarta,SMA,HR,High,31.0,9.0,45.8,12.1,73.2,21.0,10351,9988.757297532844,362.24270246715605,Fair
Female,Married,Surabaya,S1,IT,High,42.0,11.0,39.1,9.9,95.5,9.8,9575,10097.436938773446,-522.436938773446,Underpaid
Female,Married,Surabaya,S1,Finance,Low,37.0,5.0,32.5,7.5,79.1,7.7,6227,5804.527914634797,422.4720853652034,Fair
Male,Married,Jakarta,SMA,Marketing,Low,25.0,5.0,44.2,9.9,72.1,9.8,6648,6689.072786991583,-41.07278699158269,Fair
Male,Single,Surabaya,S1,HR,High,36.0,10.0,48.4,15.1,99.0,7.6,11975,10634.382349830295,1340.6176501697046,Overpaid
Other,Married,Jakarta,D3,Finance,Low,38.0,8.0,36.8,12.3,83.3,12.6,8239,7335.158276413706,903.8417235862944,Overpaid
Male,Married,Bandung,S1,Finance,Low,28.0,6.0,37.6,8.9,70.5,9.8,5454,6630.166899011324,-1176.166899011324,Underpaid
Female,Married,Bandung,S2,HR,Low,36.0,7.0,42.6,9.9,75.8,7.3,8069,7387.110251881153,681.8897481188469,Overpaid
Male,Single,Bandung,S1,Sales,High,35.0,13.0,48.1,9.9,81.4,12.3,12493,11737.838961126527,755.1610388734734,Overpaid
Female,Married,Surabaya,S1,Marketing,Low,26.0,7.0,37.4,12.6,73.5,17.3,8224,6880.581759306871,1343.4182406931286,Overpaid
Male,Married,Surabaya,SMA,HR,Low,38.0,9.0,33.3,9.9,76.3,13.7,7861,7341.486674115433,519.5133258845672,Overpaid
